IME;SIFRA;VREDNOST
LVZN;0778;MU�I�-KOVA�TVO
LVZN;0779;MZT
LVZN;0780;NCA
LVZN;0781;NELBACH
LVZN;0782;NEMETH LORINC
LVZN;0783;NEPTUN
LVZN;0784;NETAM
LVZN;0785;NIEWIADOW
LVZN;0786;NIKOS
LVZN;0787;NOOTEBOOM
LVZN;0788;NORD PIAVE
LVZN;0789;O.M.T.
LVZN;0790;OBERMAIER
LVZN;0791;OLT
LVZN;0792;OMAR
LVZN;0793;OMEGA
LVZN;0794;OMEP
LVZN;0795;OMFTT PEDRETTI
LVZN;0796;OMME
LVZN;0797;OMSP MACOLA
LVZN;0798;ORION
LVZN;0799;ORTEN
LVZN;0800;ORTHAUS
LVZN;0801;PACTON
LVZN;0802;PADOVANI
LVZN;0803;PAGANINI
LVZN;0804;PANAV
LVZN;0805;PARTENHEIMER
LVZN;0806;PASQUALI
LVZN;0807;PAUL AUWARTER
LVZN;0808;PAUS
LVZN;0809;PEISCHL
LVZN;0810;PEITZ
LVZN;0812;PEZZAIOLI
LVZN;0813;PIACENZA
LVZN;0814;PITZER
LVZN;0815;PNO
LVZN;0816;POBEDA
LVZN;0817;POLJOPRIVREDNIK
LVZN;0818;PONGRATZ
LVZN;0819;POPPE
LVZN;082;LADA
LVZN;0820;PRADELLA
LVZN;0821;PREDOM
LVZN;0822;PRIM BALL
LVZN;0823;PRIMETZHOFER
LVZN;0824;PROGRES
LVZN;0825;PRVA PETOLETKA
LVZN;0826;PSE
LVZN;0827;PUPIN
LVZN;0828;PUTZMEISTER
LVZN;0829;RADE KON�AR
LVZN;0830;RATINGEN
LVZN;0831;RAZNE ZNAMKE
LVZN;0832;REHOS
LVZN;0833;REHR
LVZN;0834;REISCH
LVZN;0835;REKO
LVZN;0836;RENDERS
LVZN;0837;RESSENIG
LVZN;0838;RETTENMAIER
LVZN;0839;REUTLINGER
LVZN;0840;RFW
LVZN;0841;RICHARD HENNE
LVZN;0842;RIEDLER
LVZN;0843;RIOEND
LVZN;0844;RM TRAILERS
LVZN;0845;ROCCA
LVZN;0846;ROHR
LVZN;0847;ROKA-WERK
LVZN;0848;ROLFO
LVZN;0849;ROLLER
LVZN;0850;ROSENSTEINER
LVZN;0851;RITH
LVZN;0852;RSA
LVZN;0853;RUFAC
LVZN;0854;RUNTEMUND
LVZN;0855;S-NAVES
LVZN;0856;SAC SARTORI
LVZN;0857;SACAR
LVZN;0858;SACIM
LVZN;0859;SAMBO
LVZN;0860;SAMECO
LVZN;0861;SAMRO
LVZN;0862;SARA
LVZN;0863;SARIS
LVZN;0864;SARMAT
LVZN;0865;SAWO
LVZN;0866;SCATTOLINI
LVZN;0867;SCHALLEX
LVZN;0868;SCHAUBSTAHL
LVZN;0869;SCHENK
LVZN;0870;SCHEURLE
LVZN;0871;SCHMID
LVZN;0872;SCHMIDT
LVZN;0873;SCHMITZ
LVZN;0874;SCHNABEL
LVZN;0875;SCHRADER
LVZN;0876;SCHULTE
LVZN;0877;SCHULZE
LVZN;0878;SCHWARZ
LVZN;0879;SCHWARZMULLER
LVZN;0880;SCHWELMER
LVZN;0881;SCHWINGENSCHLOGEL
LVZN;0882;SDC
LVZN;0883;SEDELMAYER
LVZN;0884;SEKOTILL
LVZN;0885;SERVIS VOZIL-LJUTOMER
LVZN;0886;SETTI ARTURO
LVZN;0887;SHORELAND
LVZN;0888;SIGG
LVZN;0889;SILVER
LVZN;0890;SIP
LVZN;0891;SIR
LVZN;0892;SKOPJE
LVZN;0893;SKY-NIGH
LVZN;0894;SLUIS TRAILERS
LVZN;0895;SOFIM
LVZN;0896;SOLI
LVZN;0897;SOLID
LVZN;0898;SOLIN
LVZN;0899;SOMMER
LVZN;0900;SONNOZ
LVZN;0901;SPENNER
LVZN;0902;SPIER
LVZN;0903;SPINDELBERGER
LVZN;0904;SPITZER
LVZN;0905;SPRINT
LVZN;0906;SPRITE
LVZN;0907;S�K
LVZN;0908;S�TUD
LVZN;0909;STADLER
LVZN;0910;STAS
LVZN;0911;STEINBACHER
LVZN;0912;STEINER
LVZN;0913;STEMA
LVZN;0914;STENGEL-NEUENSTEIN
LVZN;0915;STOCK
LVZN;0916;STOCKBURGER
LVZN;0917;STOGLER
LVZN;0918;STOJAN
LVZN;0919;STOLL
LVZN;0920;STRASSMAYR
LVZN;0921;STROJARSTVO HORVAT
LVZN;0922;STROJOTEKS
LVZN;0923;STS
LVZN;0924;SUD-TAINER
LVZN;0925;SUTTER
LVZN;0926;T.E.C.
LVZN;0927;TABBERT
LVZN;0928;TABERT
LVZN;0929;TACK
LVZN;0930;TAJFUN
LVZN;0931;TALSON
LVZN;0932;TANDEM
LVZN;0933;TECHAU
LVZN;0934;TEHNIKA
LVZN;0935;TEHNOMEHANIKA
LVZN;0936;TEHNOSTROJ
LVZN;0937;TESSERAULT
LVZN;0938;THAKER
LVZN;0939;THEURER
LVZN;0940;THIEL
LVZN;0941;THRUN EIKER
LVZN;0942;TIJHOF
LVZN;0943;TIMA
LVZN;0944;TITAN
LVZN;0945;TKD
LVZN;0946;TPF
LVZN;0947;TPK
LVZN;0948;TPM
LVZN;0949;TPV
LVZN;0950;TRABOSA
LVZN;0951;TRAILEX
LVZN;0952;TRAILOR
LVZN;0953;TREBBINER
LVZN;0954;TRENKER
LVZN;0955;TRESKA
LVZN;0956;TROUILLET
LVZN;0957;TTN
LVZN;0958;TWISTER
LVZN;0959;UELZENER
LVZN;0960;ULJANIK
LVZN;0961;UMBRA RIMORCHI
LVZN;0962;UNIVERSAL
LVZN;0963;UNIVERZAL
LVZN;0964;UNTERHOLZNER
LVZN;0965;UPRIGHT
LVZN;0966;URIZZI
LVZN;0967;UTVA
LVZN;0968;VAK
LVZN;0969;VALERYDSLAPET
LVZN;0970;VALPADOVA
LVZN;0971;VAN HOOL
LVZN;0972;VARA�DIN
LVZN;0973;VARIANT
LVZN;0974;VARMOND
LVZN;0975;VFW
LVZN;0976;VIBERTI
LVZN;0977;VINODOLKA
LVZN;0978;VI�EVICA
LVZN;0979;VOCA
LVZN;0980;VOLF
LVZN;0981;VOZILA GORICA
LVZN;0982;W.U.E. PARTENHEIMER
LVZN;0983;WACKENHUT
LVZN;0984;WALTER SERENY
LVZN;0985;WANDL
LVZN;0986;WASNER
LVZN;0987;WEBER
LVZN;0988;WEBER MINDEN
LVZN;0989;WEFA
LVZN;0990;WEINMANN
LVZN;0991;WEIPPERT
LVZN;0992;WEIRO
LVZN;0993;WEKA
LVZN;0994;WELLMEYER
LVZN;0995;WESTFALIA
LVZN;0996;WHAHN
LVZN;0997;WIEDENIG K.G.
LVZN;0998;WIEDERKEHR
LVZN;0999;WIENS SAFETY
LVZN;1000;WIESE
LVZN;1001;WILHELM HERMANNS
LVZN;1002;WILK
LVZN;1003;WILKEN
LVZN;1004;WILLIBALD
LVZN;1005;WILLIG
LVZN;1006;WINKEL
LVZN;1007;WISMUT-AG
LVZN;1008;WISSKIRCHEN
LVZN;1009;WISSNER
LVZN;1010;WMMEYER
LVZN;1011;WOERMANN
LVZN;1012;WORMAN
